,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
740,BPCL.NS,Long Closed,2017-11-02,272.45,2017-12-08,249.25,183.0,49858.352,-4245.6,-8.515,Exit Trigger,36 days
741,BPCL.NS,Long Closed,2017-12-29,261.62,2018-01-18,240.05,191.0,49970.375,-4119.87,-8.245,Exit Trigger,20 days
742,BPCL.NS,Long Closed,2018-06-14,209.95,2018-07-11,187.95,238.0,49968.099,-5236.0,-10.479,Exit Trigger,27 days
743,BPCL.NS,Long Closed,2018-12-04,161.0,2019-02-06,168.98,310.0,49910.0,2473.8,4.957,Exit Trigger,64 days
744,BPCL.NS,Long Closed,2019-03-14,194.48,2019-05-03,192.48,257.0,49980.077,-514.0,-1.028,Exit Trigger,50 days
745,BPCL.NS,Long Closed,2019-05-27,196.5,2019-07-09,181.0,254.0,49911.0,-3937.0,-7.888,Exit Trigger,43 days
746,BPCL.NS,Long Closed,2019-09-13,192.75,2019-12-11,242.5,259.0,49922.25,12885.25,25.811,Exit Trigger,89 days
747,BPCL.NS,Long Closed,2020-06-12,177.62,2020-09-09,203.0,281.0,49912.625,7131.78,14.289,Exit Trigger,89 days
748,BPCL.NS,Long Closed,2020-11-23,193.0,2021-04-15,204.5,259.0,49987.0,2978.5,5.959,Exit Trigger,143 days
749,BPCL.NS,Long Closed,2021-05-21,231.5,2021-07-15,224.65,215.0,49772.5,-1472.75,-2.959,Exit Trigger,55 days
750,BPCL.NS,Long Closed,2021-09-01,236.62,2021-09-30,219.9,211.0,49927.875,-3527.92,-7.066,Exit Trigger,29 days
751,BPCL.NS,Long Closed,2022-01-24,190.7,2022-02-11,184.82,262.0,49963.399,-1540.56,-3.083,Exit Trigger,18 days
752,BPCL.NS,Long Closed,2022-04-08,191.4,2022-05-18,168.23,261.0,49955.398,-6047.37,-12.106,Exit Trigger,40 days
753,BPCL.NS,Long Closed,2022-08-02,167.75,2022-09-26,156.0,298.0,49989.5,-3501.5,-7.004,Exit Trigger,55 days
754,BPCL.NS,Long Closed,2022-11-29,170.75,2023-02-16,165.57,292.0,49859.0,-1512.56,-3.034,Exit Trigger,79 days
755,BPCL.NS,Long Closed,2023-03-29,170.0,2023-08-16,178.38,294.0,49980.0,2463.72,4.929,Exit Trigger,140 days
756,BPCL.NS,Long Closed,2023-11-09,192.55,2024-04-10,294.65,259.0,49870.451,26443.9,53.025,Exit Trigger,153 days
757,BPCL.NS,Long Closed,2024-05-15,304.5,2024-06-27,298.8,164.0,49938.0,-934.8,-1.872,Exit Trigger,43 days
